idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
46,19.361,-99.162,982,-0.1,0.37,2,-0.09,0.41,2,-0.1,0.44,2,-0.09,0.41,2,-0.06,0.4,2,-0.07,0.28,2,-0.09,0.24,1,-0.08,0.36,2
47,19.38,-99.164,1026,-0.19,0.15,1,-0.2,0.16,1,-0.19,0.16,1,-0.2,0.14,1,-0.18,0.15,1,-0.15,0.16,1,-0.13,0.19,1,-0.17,0.15,1
48,19.365,-99.155,1040,-0.23,0.32,2,-0.23,0.46,2,-0.23,0.34,2,-0.23,0.31,2,-0.22,0.28,2,-0.23,0.17,1,-0.25,0.14,3,-0.23,0.28,2
49,19.37,-99.172,960,-0.11,0.2,1,-0.11,0.21,1,-0.11,0.2,1,-0.12,0.18,1,-0.11,0.17,1,-0.1,0.07,1,-0.13,0.06,1,-0.11,0.15,1
50,19.384,-99.172,956,-0.11,0.53,2,-0.12,0.56,2,-0.12,0.55,2,-0.11,0.58,2,-0.08,0.54,2,-0.09,0.39,2,-0.12,0.3,2,-0.1,0.49,2
51,19.371,-99.182,914,-0.35,0.27,4,-0.42,0.3,4,-0.4,0.29,4,-0.39,0.28,4,-0.42,0.24,3,-0.2,0.23,1,-0.13,0.28,2,-0.33,0.27,4
52,19.394,-99.176,2099,-0.17,0.36,2,-0.18,0.4,2,-0.15,0.4,2,-0.16,0.39,2,-0.14,0.4,2,-0.15,0.22,1,-0.16,0.16,6,-0.15,0.33,2
53,19.381,-99.175,870,-0.09,0.52,2,-0.08,0.52,2,-0.08,0.56,2,-0.08,0.53,2,-0.08,0.54,2,-0.08,0.46,2,-0.11,0.38,2,-0.08,0.5,2
54,19.373,-99.172,974,-0.08,0.23,1,-0.07,0.21,1,-0.08,0.22,1,-0.07,0.23,1,-0.07,0.23,1,-0.07,0.2,1,-0.07,0.21,1,-0.07,0.21,1
55,19.386,-99.181,989,-0.22,0.13,1,-0.21,0.14,1,-0.2,0.15,1,-0.2,0.12,1,-0.21,0.13,1,-0.2,0.11,1,-0.21,0.1,1,-0.2,0.12,1
56,19.398,-99.173,968,-0.14,0.26,2,-0.13,0.26,2,-0.11,0.24,1,-0.1,0.24,1,-0.12,0.23,1,-0.1,0.19,1,-0.14,0.17,1,-0.12,0.22,1
57,19.394,-99.178,1045,-0.11,0.4,2,-0.09,0.42,2,-0.09,0.45,2,-0.11,0.42,2,-0.07,0.44,2,-0.1,0.3,2,-0.12,0.2,1,-0.09,0.37,2
58,19.393,-99.184,1057,-0.24,0.28,2,-0.29,0.24,3,-0.25,0.24,3,-0.27,0.23,3,-0.27,0.23,3,-0.22,0.14,1,-0.23,0.14,1,-0.25,0.21,3
59,19.388,-99.17,957,-0.14,0.38,2,-0.13,0.35,2,-0.13,0.36,2,-0.11,0.35,2,-0.13,0.39,2,-0.1,0.4,2,-0.14,0.37,2,-0.12,0.37,2
60,19.389,-99.178,960,-0.2,0.13,1,-0.19,0.16,1,-0.19,0.17,1,-0.19,0.17,1,-0.19,0.14,1,-0.22,0.11,1,-0.19,0.11,1,-0.19,0.14,1
61,19.387,-99.173,976,-0.11,0.2,1,-0.09,0.19,1,-0.09,0.2,1,-0.08,0.2,1,-0.07,0.22,1,-0.09,0.17,1,-0.12,0.14,1,-0.09,0.18,1
62,19.387,-99.165,1042,-0.22,0.48,2,-0.2,0.51,2,-0.16,0.5,2,-0.16,0.5,2,-0.18,0.58,2,-0.14,0.54,2,-0.18,0.46,2,-0.17,0.51,2
63,19.415,-99.167,1010,-0.14,0.24,1,-0.18,0.26,2,-0.17,0.24,1,-0.17,0.23,1,-0.17,0.23,1,-0.09,0.2,1,-0.09,0.23,1,-0.14,0.23,1
64,19.41,-99.18,1060,-0.19,0.14,1,-0.18,0.15,1,-0.17,0.15,1,-0.18,0.15,1,-0.17,0.16,1,-0.17,0.08,1,-0.19,0.08,1,-0.17,0.13,1
65,19.412,-99.176,1045,-0.22,0.18,1,-0.18,0.18,6,-0.19,0.18,1,-0.17,0.21,1,-0.17,0.23,1,-0.19,0.13,1,-0.22,0.12,1,-0.19,0.17,1
66,19.384,-99.161,957,-0.25,0.44,5,-0.19,0.5,2,-0.16,0.55,2,-0.2,0.53,2,-0.17,0.55,2,-0.23,0.45,2,-0.32,0.31,4,-0.21,0.47,2
67,19.389,-99.183,837,-0.2,0.29,2,-0.16,0.24,1,-0.16,0.26,2,-0.17,0.27,2,-0.15,0.28,2,-0.15,0.28,2,-0.18,0.25,2,-0.16,0.26,2
68,19.391,-99.174,1039,-0.16,0.32,2,-0.16,0.24,1,-0.14,0.27,2,-0.14,0.29,2,-0.14,0.34,2,-0.11,0.45,2,-0.13,0.42,2,-0.14,0.33,2
69,19.383,-99.158,1037,-0.13,0.19,1,-0.11,0.2,1,-0.11,0.18,1,-0.11,0.19,1,-0.11,0.23,1,-0.1,0.2,1,-0.14,0.2,1,-0.11,0.19,1
70,19.393,-99.168,1044,-0.29,0.22,3,-0.27,0.23,3,-0.29,0.21,3,-0.24,0.21,1,-0.22,0.23,1,-0.23,0.15,1,-0.25,0.16,3,-0.25,0.2,3
71,19.41,-99.173,926,-0.14,0.09,1,-0.13,0.1,1,-0.12,0.1,1,-0.13,0.1,1,-0.12,0.11,1,-0.12,0.11,1,-0.14,0.09,1,-0.12,0.1,1
72,19.421,-99.168,1039,-0.2,0.32,2,-0.17,0.36,2,-0.16,0.31,2,-0.17,0.36,2,-0.15,0.47,2,-0.16,0.26,2,-0.22,0.23,1,-0.17,0.33,2
73,19.409,-99.17,977,-0.33,0.14,3,-0.29,0.14,3,-0.26,0.17,3,-0.28,0.15,3,-0.21,0.18,1,-0.19,0.19,6,-0.25,0.19,3,-0.25,0.16,3
74,19.413,-99.167,1043,-0.25,0.13,3,-0.24,0.15,1,-0.23,0.11,1,-0.25,0.12,3,-0.22,0.11,1,-0.15,0.13,1,-0.14,0.12,1,-0.21,0.12,1
75,19.417,-99.166,931,-0.18,0.12,1,-0.21,0.1,1,-0.19,0.1,1,-0.22,0.08,1,-0.21,0.09,1,-0.18,0.07,1,-0.17,0.05,1,-0.19,0.08,1
76,19.411,-99.171,914,-0.28,0.12,3,-0.41,0.1,3,-0.39,0.08,3,-0.42,0.08,3,-0.38,0.08,3,-0.25,0.07,3,-0.2,0.07,1,-0.33,0.08,3
77,19.407,-99.172,1917,-0.34,0.17,3,-0.3,0.22,3,-0.31,0.18,3,-0.31,0.21,3,-0.27,0.24,3,-0.24,0.15,1,-0.27,0.12,3,-0.29,0.18,3
78,19.408,-99.169,979,-0.21,0.14,1,-0.22,0.14,1,-0.2,0.14,1,-0.19,0.13,1,-0.17,0.15,1,-0.19,0.13,1,-0.21,0.08,1,-0.19,0.13,1
79,19.408,-99.174,1039,-0.29,0.17,3,-0.38,0.18,3,-0.35,0.17,3,-0.37,0.15,3,-0.35,0.13,3,-0.21,0.1,1,-0.2,0.09,1,-0.3,0.14,3
80,19.422,-99.161,989,-0.15,0.15,6,-0.17,0.14,1,-0.16,0.15,1,-0.17,0.14,1,-0.14,0.15,1,-0.12,0.15,1,-0.12,0.18,1,-0.14,0.15,1
81,19.417,-99.176,1040,-0.14,0.07,1,-0.13,0.08,1,-0.13,0.07,1,-0.12,0.07,1,-0.11,0.07,1,-0.09,0.07,1,-0.11,0.06,1,-0.11,0.07,1
82,19.412,-99.178,931,-0.43,0.15,3,-0.43,0.13,3,-0.44,0.11,3,-0.45,0.12,3,-0.44,0.11,3,-0.31,0.09,3,-0.26,0.09,3,-0.39,0.11,3
83,19.422,-99.164,979,-0.34,0.09,3,-0.37,0.1,3,-0.38,0.1,3,-0.33,0.1,3,-0.32,0.1,3,-0.2,0.11,1,-0.2,0.11,1,-0.3,0.1,3
84,19.415,-99.178,968,-0.55,0.22,3,-0.6,0.19,3,-0.57,0.18,3,-0.6,0.17,3,-0.58,0.16,3,-0.44,0.17,3,-0.42,0.17,3,-0.53,0.18,3
85,19.419,-99.17,968,-0.09,0.22,1,-0.1,0.21,1,-0.09,0.23,1,-0.09,0.19,1,-0.07,0.28,2,-0.07,0.26,2,-0.05,0.25,2,-0.08,0.23,1
